Application_Id,Parent_Application_Id,Process_Id,Payment_Status,Objection_Status,Manufactrer_Id,Created_On,Is_Service_Completed,Request_Id_Fk,Is_Service_Submitted,Application_To_Be_Received_By,Payment_Remarks,Payment_Status_Date,Payment_Status_By,Is_Payment_Required,Application_Status,Application_Status_Updated_By,Application_Status_Updated_On,Is_Output_Generated,Output_Generated_On,Output_File_Name,Output_BlobFileReference,Output_ContainerName,Amount,Is_District_Level,LicenseType,RejectionRemarks,EsewaApplication_Id,FinalOutput_FileName,FinalOutput_BlobReference,Is_data_MOved,Deleted_Esewa_Application_Id,ReceiptNo,PaymentAmount,PaymentDate,PaymentBy,date_difference
1324,214,52,2,NULL,5718,43:41.8,1,NULL,Submitted,1849201,NULL,07:54.5,5718,Yes,Approved,00:00.0,13:50.1,00:00.0,06:41.9,sidhu pesticide_ec4896d2.pdf,2021/august/20210825/1849201_5c845f66_a0bc_452e_af90_1e92a826fc55_dt_25082021_0317_41_780.pdf,agricultercontainer,100,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,151
1325,4806,36,NULL,NULL,1987,44:29.9,1,NULL,Submitted,1846001,NULL,NULL,NULL,Yes,Rejected,00:00.0,30:40.3,NULL,NULL,NULL,NULL,NULL,NULL,1,2, Sale Stok Report Not Uploded,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1326,7566,60,2,NULL,14770,55:26.6,1,NULL,Submitted,1846884,NULL,22:25.1,14770,Yes,Approved,00:00.0,00:17.9,00:00.0,12:27.8,WhatsApp Image 2021-06-23 at 12.20.41 PM_db09d877.jpeg,2021/june/20210623/1846884_f625dd5d_06a9_403c_9956_d162a476b1e2_dt_23062021_1212_27_653.jpg,agricultercontainer,100,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88
1327,1501,51,NULL,NULL,11648,02:08.6,1,NULL,Submitted,1849201,NULL,NULL,NULL,Yes,Rejected,00:00.0,36:54.7,NULL,NULL,NULL,NULL,NULL,NULL,1,2, o forms are not properly attached,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1328,5926,36,NULL,NULL,13218,14:09.0,1,NULL,Submitted,1847589,NULL,NULL,NULL,Yes,Rejected,00:00.0,54:11.2,NULL,NULL,NULL,NULL,NULL,NULL,1,2, In form A1 point 3 and five are not filled properly. Rentdeed or proof of shop is not attached.Map of shop is not scanned and not seen in the portal.Form o are also not showing on the portal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1329,1495,51,NULL,NULL,11646,54:30.4,1,2.02E+11,Submitted,1849201,NULL,NULL,NULL,Yes,Rejected,00:00.0,25:03.5,NULL,NULL,NULL,NULL,NULL,NULL,1,2, O form are not correct,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1330,7909,52,2,NULL,13682,14:10.9,1,2.02E+11,Submitted,1846046,NULL,47:13.6,13682,Yes,Approved,00:00.0,47:16.9,00:00.0,41:34.4,CamScanner 09-01-2021 09.54.06_bbd019a6.pdf,2021/september/20210901/1846046_33f3e374_fe8e_4261_bd6d_62ceeedcd5c6_dt_01092021_1251_43_701.pdf,agricultercontainer,100,1,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,142
1331,1455,51,NULL,NULL,5835,56:23.4,1,NULL,Submitted,1849201,NULL,NULL,NULL,Yes,Rejected,00:00.0,57:02.3,NULL,NULL,NULL,NULL,NULL,NULL,1,2, All authority Letters should be attached with their permission letters,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1332,6584,51,2,NULL,13393,54:28.3,1,NULL,Submitted,1849736,NULL,49:24.0,13393,Yes,Approved,00:00.0,53:40.6,00:00.0,24:35.9,amrit lal retail license (1)_cbda4894.pdf,2021/june/20210622/1849736_eab33d58_ff27_4e6b_ae06_b9d15dbae8c5_dt_22062021_0424_35_881.pdf,agricultercontainer,100,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84
1333,6639,51,2,NULL,13393,24:49.2,1,NULL,Submitted,1849736,NULL,51:31.0,13393,Yes,Approved,00:00.0,12:40.9,00:00.0,00:51.3,Retail license (1)_4f9a4a1d.pdf,2021/june/20210622/1849736_065eb13c_565a_4391_8255_520b2cbebc0f_dt_22062021_0400_51_274.pdf,agricultercontainer,100,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84
1334,605,29,2,NULL,14557,26:40.7,1,2.02E+11,Submitted,1848680,NULL,08:22.2,14557,Yes,Approved,00:00.0,27:24.8,00:00.0,15:12.6,Indo Israel license_2a62f390.pdf,2021/april/20210415/1848680_1e580cc8_23d1_4fa5_9606_379c688be588_dt_15042021_0515_14_350.pdf,agricultercontainer,1500,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16
1335,310,28,NULL,NULL,3332,42:09.7,1,NULL,Submitted,1846046,NULL,NULL,NULL,Yes,Rejected,00:00.0,23:28.7,NULL,NULL,NULL,NULL,NULL,NULL,1,1, Plz Attach Documents,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1336,18,39,NULL,NULL,526,49:50.4,1,2.02E+11,Submitted,1848680,NULL,NULL,NULL,Yes,Rejected,NULL,32:32.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Brand name in affidavit not correct,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1337,3636,51,2,NULL,11370,01:20.6,1,NULL,Submitted,1846884,NULL,14:44.4,11370,Yes,Approved,00:00.0,42:45.5,00:00.0,52:55.7,WhatsApp Image 2021-07-05 at 10.01.46 AM_26abe1be.jpeg,2021/july/20210705/1846884_b72f99cf_1746_4865_95cc_f093516cac2f_dt_05072021_0952_53_126.jpg,agricultercontainer,25,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,97
1338,7935,35,2,NULL,15423,20:40.4,1,NULL,Submitted,1847561,NULL,03:44.5,15423,Yes,Approved,00:00.0,09:33.6,00:00.0,03:28.8,khera agro centre_79644efb.jpeg,2021/june/20210630/1847561_b8ec4051_e592_4db4_a933_77a8770e6d7a_dt_30062021_1203_26_275.jpg,agricultercontainer,1000,1,2,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,92
